[2023-04-26T21:45:51.780] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductosAdmin.ejs, Metodo GET
[2023-04-26T21:45:51.835] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:45:53.746] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductosAdmin.ejs, Metodo GET
[2023-04-26T21:45:53.786] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:45:54.678] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:45:55.567] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:45:57.289] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:46:11.312] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:46:12.813] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:46:15.434] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:47:41.211] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:47:41.846] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:47:42.027] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:47:42.195] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:47:42.910] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:47:42.984] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:47:45.078] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:47:45.151] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:47:45.808] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:47:45.858] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:47:46.046] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:47:46.085] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:47:46.239] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:47:46.281] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:47:47.119] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:47:48.347] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:47:48.413] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:15.730] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:15.771] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:16.657] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:16.700] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:16.819] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:16.886] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:16.998] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:17.048] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:17.149] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:17.219] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:17.288] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:17.339] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:17.442] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:17.519] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:17.630] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:17.677] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:21.549] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:21.642] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:22.216] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:22.253] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:22.752] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:22.815] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:22.934] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:22.970] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:23.096] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:23.129] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:23.239] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:23.278] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:23.403] [WARN] warnArchive - Estado: 404, Ruta consultada: /productosRouter, Metodo GET
[2023-04-26T21:48:23.482] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:24.141] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:25.357] [WARN] warnArchive - Estado: 404, Ruta consultada: /server.js, Metodo GET
[2023-04-26T21:48:25.425] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:48:27.911] [WARN] warnArchive - Estado: 404, Ruta consultada: /server.js, Metodo GET
[2023-04-26T21:48:27.946] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:49:07.027] [WARN] warnArchive - Estado: 404, Ruta consultada: /server.js, Metodo GET
[2023-04-26T21:49:07.078] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:49:07.678] [WARN] warnArchive - Estado: 404, Ruta consultada: /server.js, Metodo GET
[2023-04-26T21:49:07.752] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:49:08.076] [WARN] warnArchive - Estado: 404, Ruta consultada: /server.js, Metodo GET
[2023-04-26T21:49:08.116] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T21:49:08.367] [WARN] warnArchive - Estado: 404, Ruta consultada: /server.js, Metodo GET
[2023-04-26T21:49:08.438] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
